feature,importance,band,dimension
gamma_h0_mean_death_std,0.07147188844319083,gamma,H0
gamma_h0_total_persistence_std,0.06995992353647462,gamma,H0
gamma_h0_mean_persistence_std,0.06535439254353634,gamma,H0
gamma_h0_persistence_entropy_std,0.028931968875674684,gamma,H0
gamma_h1_mean_death_std,0.02513439052762872,gamma,H1
gamma_h1_mean_birth_std,0.022138998651944675,gamma,H1
alpha_h0_max_persistence_std,0.008133139601632158,alpha,H0
beta_h0_total_persistence_std,0.007693013051694322,beta,H0
gamma_h0_std_persistence_std,0.007188505606739648,gamma,H0
gamma_h1_n_essential_mean,0.007037282911348498,gamma,H1
alpha_h1_mean_persistence_std,0.006982938979073594,alpha,H1
beta_h0_mean_persistence_std,0.0069063872026609175,beta,H0
alpha_h0_std_death_std,0.006677696700960083,alpha,H0
gamma_h0_mean_death_mean,0.006602346912270354,gamma,H0
delta_h1_std_persistence_std,0.00644038938835651,delta,H1
gamma_h1_std_death_std,0.006217844856888961,gamma,H1
gamma_h0_std_death_std,0.006200476217037212,gamma,H0
theta_h0_std_persistence_std,0.006185205620769123,theta,H0
gamma_h0_persistence_entropy_mean,0.006154197968619022,gamma,H0
gamma_h1_n_essential_std,0.0061230786155123,gamma,H1
delta_h1_std_death_mean,0.006045115196386634,delta,H1
gamma_h0_n_features_mean,0.005959381512971495,gamma,H0
gamma_h1_n_features_mean,0.0058788955913640535,gamma,H1
alpha_h0_total_persistence_std,0.005845943862562859,alpha,H0
delta_h0_mean_persistence_std,0.005814364501699134,delta,H0
delta_h0_max_persistence_mean,0.005813413936783929,delta,H0
gamma_h1_std_birth_std,0.0057446542837708255,gamma,H1
theta_h0_total_persistence_std,0.00570972492551106,theta,H0
delta_h1_mean_persistence_std,0.005663060656577234,delta,H1
gamma_h1_persistence_entropy_std,0.0055218318302218735,gamma,H1
beta_h0_mean_death_std,0.005349893213050841,beta,H0
gamma_h0_n_features_std,0.005345433928160599,gamma,H0
alpha_h0_max_persistence_mean,0.005343347244749457,alpha,H0
beta_h1_n_essential_std,0.0053432834792848626,beta,H1
beta_h0_max_persistence_mean,0.005316413740076195,beta,H0
gamma_h0_mean_persistence_mean,0.005276819166878425,gamma,H0
theta_h0_mean_death_std,0.00523631495278979,theta,H0
alpha_h0_std_persistence_std,0.005197569383093174,alpha,H0
alpha_h1_std_persistence_std,0.005167281417642976,alpha,H1
gamma_h0_std_persistence_mean,0.005151549209318798,gamma,H0
delta_h1_std_birth_std,0.005128916320625287,delta,H1
gamma_h0_n_essential_mean,0.005110638304613905,gamma,H0
gamma_h0_std_death_mean,0.0051103496202027894,gamma,H0
gamma_h1_std_death_mean,0.005102990013841461,gamma,H1
theta_h1_mean_persistence_std,0.0050514994495756095,theta,H1
gamma_h1_mean_persistence_mean,0.005049420910424032,gamma,H1
alpha_h1_max_persistence_std,0.004924405543326148,alpha,H1
gamma_h1_mean_persistence_std,0.004867527158528479,gamma,H1
gamma_h1_std_birth_mean,0.004788747393249676,gamma,H1
delta_h1_std_birth_mean,0.004788545684676021,delta,H1
delta_h1_max_persistence_std,0.004746209102636217,delta,H1
beta_h1_mean_persistence_std,0.004725014524646026,beta,H1
beta_h1_max_persistence_std,0.004672332673415944,beta,H1
gamma_h0_n_essential_std,0.004609459824899574,gamma,H0
beta_h1_std_persistence_std,0.004563604878942448,beta,H1
theta_h1_mean_persistence_mean,0.0045311907225197975,theta,H1
delta_h1_mean_death_std,0.004527521126082299,delta,H1
theta_h0_mean_persistence_std,0.004525680837152513,theta,H0
gamma_h0_total_persistence_mean,0.004484699545671966,gamma,H0
theta_h1_max_persistence_std,0.004482084643966403,theta,H1
delta_h0_max_persistence_std,0.004454725234603474,delta,H0
beta_h1_mean_death_std,0.004398023866756009,beta,H1
delta_h0_std_persistence_mean,0.004391774154692023,delta,H0
theta_h0_std_death_std,0.00435272759403086,theta,H0
beta_h0_std_death_std,0.004321755786391907,beta,H0
delta_h1_mean_persistence_mean,0.004275849077078475,delta,H1
gamma_h1_persistence_entropy_mean,0.004226306017712215,gamma,H1
gamma_h1_mean_death_mean,0.004155556769733464,gamma,H1
alpha_h0_mean_death_std,0.004132199347065301,alpha,H0
beta_h0_max_persistence_std,0.004123793533227412,beta,H0
delta_h1_persistence_entropy_std,0.004119167228880175,delta,H1
theta_h1_total_persistence_std,0.004015991763295958,theta,H1
alpha_h0_mean_persistence_std,0.003989077126209559,alpha,H0
alpha_h1_mean_birth_mean,0.003970307571604663,alpha,H1
beta_h1_std_birth_mean,0.003926645413177612,beta,H1
delta_h1_n_essential_std,0.003842669045731325,delta,H1
alpha_h1_n_essential_std,0.0038395738856872937,alpha,H1
theta_h1_n_features_std,0.0038049590305792346,theta,H1
beta_h1_n_features_std,0.0037649008250884085,beta,H1
alpha_h0_mean_persistence_mean,0.0037398829122064674,alpha,H0
alpha_h1_std_birth_std,0.003718931284515341,alpha,H1
alpha_h1_persistence_entropy_std,0.0036995480174992715,alpha,H1
alpha_h1_mean_persistence_mean,0.003682658143135895,alpha,H1
beta_h0_persistence_entropy_std,0.0036820433790174713,beta,H0
theta_h1_std_persistence_std,0.0036736648767150414,theta,H1
alpha_h0_std_death_mean,0.003663970387120602,alpha,H0
beta_h0_std_death_mean,0.0036464481228885353,beta,H0
alpha_h0_std_persistence_mean,0.003633471363291685,alpha,H0
alpha_h1_total_persistence_std,0.0036294791341166415,alpha,H1
delta_h1_persistence_entropy_mean,0.0036048547844472856,delta,H1
beta_h1_n_essential_mean,0.003580798564007748,beta,H1
delta_h0_persistence_entropy_std,0.0035379079740548588,delta,H0
beta_h0_std_persistence_mean,0.0035161030385315005,beta,H0
theta_h1_mean_birth_std,0.0034939189359080493,theta,H1
gamma_h1_std_persistence_std,0.0034762999781890575,gamma,H1
gamma_h0_max_persistence_mean,0.0034143077694365046,gamma,H0
gamma_h0_max_persistence_std,0.003408325417579316,gamma,H0
alpha_h1_mean_birth_std,0.0033914362694699124,alpha,H1
beta_h0_mean_persistence_mean,0.0033818026556812104,beta,H0
gamma_h1_total_persistence_mean,0.003378163647345421,gamma,H1
delta_h0_mean_death_std,0.003376816106521951,delta,H0
delta_h0_std_death_mean,0.003364823983192346,delta,H0
delta_h0_std_persistence_std,0.0033386942084681786,delta,H0
alpha_h1_std_death_std,0.003279581967682901,alpha,H1
theta_h1_max_persistence_mean,0.0032756906952357222,theta,H1
delta_h1_n_features_mean,0.003267307183451462,delta,H1
beta_h1_mean_persistence_mean,0.003265109175828931,beta,H1
gamma_h1_max_persistence_std,0.0032636091656412995,gamma,H1
theta_h1_std_birth_mean,0.00325744375583578,theta,H1
alpha_h1_std_birth_mean,0.0032484191080230022,alpha,H1
gamma_h1_mean_birth_mean,0.003248307987083607,gamma,H1
delta_h0_std_death_std,0.0032254976346528267,delta,H0
theta_h1_std_birth_std,0.003224192639785802,theta,H1
alpha_h1_std_death_mean,0.003206205589916369,alpha,H1
theta_h1_n_features_mean,0.0032027607099096894,theta,H1
theta_h0_n_essential_std,0.0031939487508276295,theta,H0
beta_h1_mean_birth_std,0.0031532664814030646,beta,H1
theta_h1_n_essential_std,0.0031423927584299173,theta,H1
delta_h0_persistence_entropy_mean,0.003127264758502555,delta,H0
theta_h0_n_features_mean,0.0031248335060088317,theta,H0
theta_h0_n_essential_mean,0.0031145110333969887,theta,H0
beta_h1_std_death_std,0.0031127267197443172,beta,H1
beta_h1_persistence_entropy_std,0.003101036263156161,beta,H1
beta_h1_std_persistence_mean,0.0030816479316140115,beta,H1
delta_h0_total_persistence_std,0.00307791464122392,delta,H0
delta_h1_n_features_std,0.0030774439985909157,delta,H1
alpha_h0_persistence_entropy_mean,0.0030146222319825705,alpha,H0
delta_h1_mean_birth_std,0.0029999292933332432,delta,H1
delta_h1_n_essential_mean,0.002978888770688093,delta,H1
alpha_h1_persistence_entropy_mean,0.002974641666224491,alpha,H1
alpha_h0_n_essential_std,0.0029685748073055122,alpha,H0
delta_h0_n_essential_mean,0.0029226145328903395,delta,H0
gamma_h1_n_features_std,0.002920331404275088,gamma,H1
alpha_h0_persistence_entropy_std,0.0029193639377595253,alpha,H0
theta_h1_std_death_std,0.0029068161011014757,theta,H1
theta_h0_n_features_std,0.00290023094665182,theta,H0
theta_h1_total_persistence_mean,0.0028843684028518253,theta,H1
delta_h1_std_persistence_mean,0.0028733499869314583,delta,H1
alpha_h0_n_features_mean,0.002848486598056803,alpha,H0
beta_h1_mean_birth_mean,0.0028410042965065297,beta,H1
delta_h1_total_persistence_mean,0.002831380581708234,delta,H1
beta_h1_n_features_mean,0.0028037765192363813,beta,H1
theta_h0_max_persistence_mean,0.0027951136216210356,theta,H0
delta_h1_mean_death_mean,0.002768302140233137,delta,H1
delta_h0_n_features_mean,0.0027617572330884774,delta,H0
delta_h0_n_essential_std,0.0027603378481745743,delta,H0
theta_h0_mean_death_mean,0.0027300167972745364,theta,H0
delta_h0_n_features_std,0.0026943217917690327,delta,H0
beta_h1_std_birth_std,0.0026596844516390186,beta,H1
gamma_h1_max_persistence_mean,0.0026306284067247458,gamma,H1
theta_h0_persistence_entropy_std,0.0026254324506280718,theta,H0
theta_h0_persistence_entropy_mean,0.0025812367670531035,theta,H0
theta_h1_mean_death_std,0.0025798996742660268,theta,H1
theta_h0_max_persistence_std,0.002569976883526959,theta,H0
beta_h0_n_essential_mean,0.002558598233896295,beta,H0
delta_h1_total_persistence_std,0.0025376026281361905,delta,H1
delta_h1_max_persistence_mean,0.002530037732679424,delta,H1
alpha_h0_total_persistence_mean,0.0025261240375668214,alpha,H0
theta_h1_persistence_entropy_std,0.0025085285081945523,theta,H1
delta_h0_mean_death_mean,0.0025053593845360232,delta,H0
beta_h0_std_persistence_std,0.002487992904966576,beta,H0
alpha_h1_max_persistence_mean,0.0024597799600709768,alpha,H1
beta_h0_n_essential_std,0.0024330989840084167,beta,H0
beta_h0_total_persistence_mean,0.0024174467966774395,beta,H0
alpha_h1_mean_death_mean,0.002402968051478004,alpha,H1
beta_h0_n_features_mean,0.0023967786968014018,beta,H0
theta_h1_persistence_entropy_mean,0.0023963174898268265,theta,H1
gamma_h1_total_persistence_std,0.002374053792639337,gamma,H1
beta_h1_mean_death_mean,0.0023529666292417574,beta,H1
beta_h1_std_death_mean,0.002351067033750738,beta,H1
theta_h0_std_persistence_mean,0.002346726524700438,theta,H0
delta_h1_mean_birth_mean,0.002325212455755064,delta,H1
beta_h1_persistence_entropy_mean,0.002287514279493172,beta,H1
theta_h1_n_essential_mean,0.0022818804362050946,theta,H1
alpha_h0_mean_death_mean,0.0022745952007058733,alpha,H0
theta_h1_std_death_mean,0.0022650069110031635,theta,H1
beta_h1_max_persistence_mean,0.0022607500161884145,beta,H1
beta_h0_mean_death_mean,0.002250305308378013,beta,H0
alpha_h1_mean_death_std,0.002249636988747434,alpha,H1
alpha_h1_n_features_mean,0.002241635969294236,alpha,H1
theta_h0_total_persistence_mean,0.002217234422202952,theta,H0
beta_h1_total_persistence_std,0.002208690487408318,beta,H1
alpha_h1_n_features_std,0.00216061945334131,alpha,H1
theta_h0_mean_persistence_mean,0.002140423789376115,theta,H0
gamma_h1_std_persistence_mean,0.0021172815541551544,gamma,H1
alpha_h1_total_persistence_mean,0.0021013732447327025,alpha,H1
beta_h0_n_features_std,0.002099140713385791,beta,H0
delta_h0_total_persistence_mean,0.0020714201708617267,delta,H0
delta_h1_std_death_std,0.0020636569055581503,delta,H1
theta_h0_std_death_mean,0.0019824418557468347,theta,H0
alpha_h1_n_essential_mean,0.001931623080712343,alpha,H1
theta_h1_mean_death_mean,0.0018648516270869582,theta,H1
beta_h1_total_persistence_mean,0.0018520089687767186,beta,H1
beta_h0_persistence_entropy_mean,0.0018210269287865424,beta,H0
theta_h1_std_persistence_mean,0.0018143621715675123,theta,H1
alpha_h0_n_essential_mean,0.001803290121418457,alpha,H0
alpha_h0_n_features_std,0.0017813766782227344,alpha,H0
delta_h0_mean_persistence_mean,0.0016294029855480347,delta,H0
theta_h1_mean_birth_mean,0.0015834941322099083,theta,H1
alpha_h1_std_persistence_mean,0.001528544405723175,alpha,H1
delta_h0_std_birth_mean,0.0,delta,H0
delta_h0_mean_birth_mean,0.0,delta,H0
delta_h0_mean_birth_std,0.0,delta,H0
alpha_h0_std_birth_std,0.0,alpha,H0
beta_h0_std_birth_mean,0.0,beta,H0
beta_h0_mean_birth_std,0.0,beta,H0
beta_h0_std_birth_std,0.0,beta,H0
alpha_h0_std_birth_mean,0.0,alpha,H0
theta_h0_std_birth_std,0.0,theta,H0
delta_h0_std_birth_std,0.0,delta,H0
alpha_h0_mean_birth_std,0.0,alpha,H0
beta_h0_mean_birth_mean,0.0,beta,H0
alpha_h0_mean_birth_mean,0.0,alpha,H0
gamma_h0_std_birth_std,0.0,gamma,H0
gamma_h0_std_birth_mean,0.0,gamma,H0
gamma_h0_mean_birth_std,0.0,gamma,H0
theta_h0_mean_birth_mean,0.0,theta,H0
theta_h0_mean_birth_std,0.0,theta,H0
theta_h0_std_birth_mean,0.0,theta,H0
gamma_h0_mean_birth_mean,0.0,gamma,H0
